,0
0,-3.1461099464916517295e-15
1,0.0066761289339924770325
2,0.013352134270735841609
3,0.020027892424903246532
4,0.026703279834908010687
5,0.03337817297486604662
6,0.04005244836642985612
7,0.046725982590666854943
8,0.053398652299912703623
9,0.060070334229617855515
10,0.06674090521016118327
11,0.073410242178675838565
12,0.08007822219078150616
13,0.08674472243239224334
14,0.093409620231406295665
15,0.10007279306944655284
16,0.10673411859345985353
17,0.11339347462742008221
18,0.12005073918384095988
19,0.12670579047544155982
20,0.13335850692652576055
21,0.14000876718454816072
22,0.1466564501315067437
23,0.15330143489529218792
24,0.15994360086102066276
25,0.16658282768230295301
26,0.17321899529247083982
27,0.17985198391569584553
28,0.18648167407809732032
29,0.19310794661877028755
30,0.19973068270072744101
31,0.2063497638218431407
32,0.21296507182562943172
33,0.21957648891201755892
34,0.2261838976480212704
35,0.23278718097836473278
36,0.23938622223600020122
37,0.24598090515254061872
38,0.25257111386865771507
39,0.25915673294432822749
40,0.26573764736905874928
41,0.2723137425719786009
42,0.27888490443187108347
43,0.2854510192870657881
44,0.29201197394535644003
45,0.29856765569365290025
46,0.30511795230765503817
47,0.31166275206141341725
48,0.3182019437367616388
49,0.32473541663265281798
50,0.3312630605744322776
51,0.3377847659229010202
52,0.34430042358342133335
53,0.35080992501481139678
54,0.3573131622381201522
55,0.36381002784537019856
56,0.37030041500814142585
57,0.37678421748603563302
58,0.38326132963500053608
59,0.38973164641565255506
60,0.39619506340131577238
61,0.40265147678609941595
62,0.40910078339271099823
63,0.41554288068031580705
64,0.421977666752073155
65,0.4284050403627488457
66,0.43482490092602560372
67,0.44123714852185957902
68,0.4476416839035637918
69,0.45403840850484394887
70,0.46042722444669215154
71,0.46680803454412517217
72,0.47318074231285039977
73,0.47954525197574060513
74,0.48590146846920279078
75,0.49224929744943640708
76,0.49858864529850382974
77,0.50491941913034421585
78,0.5112415267965908505
79,0.5175548768922817455
80,0.523859378761408534
81,0.5301549425023905915
82,0.5364414789733622513
83,0.5427188997973171336
84,0.54898711736717198395
85,0.5552460448506403301
86,0.56149559619500111207
87,0.56773568613171065955
88,0.57396623018088333
89,0.58018714465565146554
90,0.5863983466664099975
91,0.5925997541247967071
92,0.5987912857477301065
93,0.6049728610611602164
94,0.6111444004037431821
95,0.61730582493037156055
96,0.6234570566155582805
97,0.629598018256716907
98,0.63572863347723529426
99,0.64184882672951737437
100,0.6479585232977899123
